cluster_id,observed_mention,candidate_id,mention_count,first_document_date,decision,accepted_canonical_id,accepted_proposal_rank,accepted_authority_variant,proposal_1_canonical_id,proposal_1_canonical_name,proposal_1_matched_variant,proposal_1_score,proposal_1_rationale,proposal_2_canonical_id,proposal_2_canonical_name,proposal_2_matched_variant,proposal_2_score,proposal_2_rationale,proposal_3_canonical_id,proposal_3_canonical_name,proposal_3_matched_variant,proposal_3_score,proposal_3_rationale,reviewer,evidence_note,source_context
VC00011,Nicholas Ferrar,PC00059,9,"JANUARY 29, 1620",needs_review,,,,person_nicholas_ferrar,Nicholas Ferrar,Nicholas Ferrar,1.000,surname plus given-name comparison,person_john_ferrar,John Ferrar,John Ferrar,0.781,surname plus given-name comparison,,,,,,,,"JANUARY 29, 1620: Francis Wyate, Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr. Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr. Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas Ferrar, Mr. Combe, Mr. Doctor Anthony, Mr. Ditchfield, Mr. Baynham, Mr. Sheppard, Mr. Seaward, Mr. Wyddowes, Mr. Bromefield, Mr. Wheately, Mr. Sparrowe, Mr. Newport, Mr. Kightley, with divers others. My Lord of Southampton signified vn || FEBRUARY 22, 1620: mith, M' Whitly, S' Iohn Dauers, Captain Bargraue, M' Palmer, S' Francis Wyate, M' Termin, M' Widdowes, M' Deputy, M' Doctor Anthony, M' Baynam, M' Wroth, M' George Sandys, M' Edwarde, M' Wrote, M' Hicks, M' Melling, M' Gibbe, M' Nicholas Ferrar, M' Roberte, M' Sheppard, M' Cranmer, M' Viner, M' Casewell, M' Beareblock, M' Smith, M' Chamberlen, with divers others. S' Edwin Sandys signified vnto the Company that my Lord of Southampton, by reason of this busy time of Par"
VC00012,Stith,PC00060,9,"October 4, 1825",needs_review,,,,person_thomas_smythe,Sir Thomas Smythe,Thomas Smith,0.800,surname-only comparison,person_john_smith,Captain John Smith,Captain John Smith,0.800,surname-only comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.800,surname-only comparison,,,"October 4, 1825: nia Historical Society and commonly known as the [John] Randolph [of Roanoke] copy, has been a subject of doubt and discussion, arising from the conflicting descriptions of the volumes by the early historians of Virginia, William Stith and John D. Burk, and by the editor of many of the documents in 1809, William Hening. The following statements with regard to the first group made by Mr. Jefferson in a letter to Hugh P. Taylor, October 4, 1825, will serve as a b || October 19, 1825: nia Historical Society and commonly known as the [John] Randolph [of Roanoke] copy, has been a subject of doubt and discussion, arising from the conflicting descriptions of the volumes by the early historians of Virginia, William Stith and John D. Burk, and by the editor of many of the documents in 1809, William Hening. The following statements with regard to the first group made by Mr. Jefferson in a letter to Hugh P. Taylor, October 4, 1825, will serve as a b"
VC00013,Thomas Gates,PC00061,9,"November 20, 1606",needs_review,,,,person_thomas_gates,Sir Thomas Gates,Thomas Gates,1.000,surname plus given-name comparison,,,,,,,,,,,,,"November 20, 1606: reasons which had long before been set forth whereby to gain the support of the Crown. CHARTER OF 1606. The royal aid as finally obtained for a colonial enterprise came in a somewhat different form. The letters patent to Sir Thomas Gates and others for plantations to be made in Virginia show that the investment was made solely by individuals, and that the joint stock was not public, although in the regulation of affairs in the colony the body of undertakers was t || February 18, 1609: wport thought was a mine, but no mention of results is made. The full description of the country by Newport and also by Captain John Smith gave the council a clear idea of its geography, as is indicated by the instructions to Sir Thomas Gates in 1609. But the expedition, which penetrated to a distance of 160 miles up the river, brought the explorers to hostile tribes and left the council still uncertain, though hopeful of the discovery of a passage to the south sea. F"
VC00014,Tucker,PC00071,8,"JANUARY 29, 1620",needs_review,,,,person_william_tucker,Captain William Tucker,William Tucker,1.000,surname-only comparison,,,,,,,,,,,,,"JANUARY 29, 1620: ENT the right honourable: Earl of Southampton, Sir Edwin Sandys, Lord Cavendish, Sir John Dauers, Lord Pagett, Sir Francis Wyate, Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr. Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr. Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas Ferrar, Mr. Combe, Mr. Doctor Anthony, Mr. Ditchfield, Mr. Baynham, Mr. Sheppard, Mr. Seaward, Mr. Wyddowes, Mr. || APRIL 30, 1621: APRIL 30, 1621 Capt. Nowce. Mr. Wheatly. Mr. Rugles. Mr. Geo: Sandys. Mr. Boothby. Mr. Widdowes. Doctor Anthony. Mr. Barbor. Mr. Baynain. Mr. Smith. Mr. Couell. Mr. Kwens. Mr. Shepperd. Mr. Combs. Mr. Steward. Mr. Bull. Captain Tucker. Mr. Casewell. Whereas it hath been taken into consideration how importantly necessary it is to establish two such officers in Virginia as Marshall and Treasurer, whereby the one might take into his care and charge as well the"
VC00015,George Yeardley,PC00077,7,"February 28, 1610",needs_review,,,,person_george_yeardley,Sir George Yeardley,George Yeardley,1.000,surname plus given-name comparison,,,,,,,,,,,,,"February 28, 1610: in the papers of the Marquis of Lansdowne. The commission bears the date February 28, 1610. It is printed in full in Brown, Genesis, I, 376-384. Printed in full in Brown, Genesis, I, 384-386. This set of instructions to Governor George Yeardley, although given late in 1618, belongs both in spirit and effect to the period of the Sandys-Southampton administration. || December 13, 1611: 1614, Sir Edwin Sandys, by this time the leading spirit in the company, had been the chairman in the House committee which reported against monopolies. To such an extent had the colony now grown that the instructions given to Sir George Yeardley in November, 1618, called ""The Great Charter of privileges, orders, and Lawes,"" recognized the necessity for local government. They provided for two houses, the ""Council of State,"" to be chosen by the company in its quarter court"
VC00016,Francis Wyate,PC00088,6,"JANUARY 29, 1620",needs_review,,,,person_francis_wyatt,Sir Francis Wyatt,Francis Wyatt,0.850,surname plus given-name comparison,,,,,,,,,,,,,"JANUARY 29, 1620: JANUARY 29, 1620 A PREPARATIVE COURT HELD THE 29 IANUARY: PRESENT the right honourable: Earl of Southampton, Sir Edwin Sandys, Lord Cavendish, Sir John Dauers, Lord Pagett, Sir Francis Wyate, Sir Edward Sackville, Sir Walter Karle, Mr. Deputy Ferrar, Mr. Zouch, Mr. Bearblock, Mr. Gibbe, Mr. Tucker, Mr. Casewell, Mr. Wroth, Mr. Tomlin, Mr. Mellinge, Mr. Earle, Mr. Smyth, Mr. Cuffe, Mr. George Sandys, Mr. Nicholas Ferr || SANUARY 29, 1620: 1620: PRESENT The right honorable Earle of Southampton. Earle of Dorsett. Earle of Deuonshire. Lord Padgett. Sir Thomas ffinch. Sir Nicholas Tufton. Sir Walter Earle. Sir Iohn Dauers. Sir William Twisden. Sir Francis Wyate. Sir Robert Phillip. Sir Samuell Sandys. Sir Francis Wyneman. Mr. Henry Mannering. Sir Edwyn Sandys. Mr. John Wroth. Sir Edward Lawly. Sir Phillip Carey. Mr. Gibbé. Doctor Gulston. Mr. Kightly. Mr. Chamber"
VC00017,John Rolfe,PC00090,6,"May 8, 1619",needs_review,,,,person_john_rolfe,John Rolfe,John Rolfe,1.000,surname plus given-name comparison,,,,,,,,,,,,,"May 8, 1619: of information concerning the social condition of the colony which in form and accuracy left little to be desired. After the time of Captain John Smith not much was accurately known of the colony until the year 1617, when Captain John Rolfe and Ralph Hamor supplied statistics as to the numbers, condition, settlements, and resources of the colony as it then was. The individual enterprises of this decade in the life of the company are altogether unknown, except from a || August 9, 1611: RS OF ADVENTURERS While the company probably did not officially use the private correspondence received from the colony by individual adventurers, it doubtless profited by the information which it contained. Thus, the relation of John Rolfe, addressed to Lord Rich and the King in 1616, ranked in value with the descriptions of Ralph Hamor, for it discussed the water supply of the colony, its food, clothing, houses, and government and gave statistical information as t"
VC00018,Nicholas Farrar,PC00095,6,"NOVEMBER 21, 1621",needs_review,,,,person_nicholas_ferrar,Nicholas Ferrar,Nich: ffarrar,1.000,surname plus given-name comparison,,,,,,,,,,,,,"NOVEMBER 21, 1621: he King’s Letters Patente, insomuch as the Court thought fit for their better information to refer it to a select Committee to be reviewed; and thereupon did nominate Mr. Herbert, Mr. Iermyn, Mr. Brooks, Mr. Wrote, Mr. Earle, Mr. Nicholas Farrar, Mr. Gibbs, authorising them or any fower of them to meet about the same at Mr. Farrars house when Mr. Deputy shall appoint, and to call Capt. Martin before them and to require a sight of the said Patent and whatsoever other writ || DECEMBER 4, 1621: he Plantation and Honourable endeavour to aduance the same, hath therefore made choice of a select Committee to take it into their consideration, viz. Sir Iohn Dauers, Mr. Wheatly, Mr. Gibbs, Mr. Ayres, Mr. Wrote, Mr. Rogers, Mr. Nicholas Farrar, Mr. Roger Smith, Mr. Abraham Chamblen, Mr. Baynham, Mr. Mellinge, or any 5 of them who for the better expedition of the business in regard of Mr. Leeke's sodaine going into the Country are desired to meet this next Friday being"
VC00019,Samuell Argall,PC00101,6,"August 9, 1611",needs_review,,,,person_samuel_argall,Sir Samuel Argall,Samuel Argall,0.964,surname plus given-name comparison,,,,,,,,,,,,,"August 9, 1611: the List of Records post, p. 125, Nos. 39, 40. For full citation of these abstracts of about twenty documents, see Ibid., Nos. 40, 42-48, 50-52, 55-57, 64, 65, 67, 74, 75. Reprinted in the Virginia Historical Register, I. (1) Sir Samuell Argall to Nicholas Hawes, June, 1613; (2) Whittaker to Crashaw, August 9, 1611; (3) Perey to Northumberland, August 17, 1611; (4) Dale to Winwood, June 3, 1616; (5) Dale to D. M., June 18, 1614; (6) Whittaker to Master G., June 18, 1614 || August 17, 1611: the List of Records post, p. 125, Nos. 39, 40. For full citation of these abstracts of about twenty documents, see Ibid., Nos. 40, 42-48, 50-52, 55-57, 64, 65, 67, 74, 75. Reprinted in the Virginia Historical Register, I. (1) Sir Samuell Argall to Nicholas Hawes, June, 1613; (2) Whittaker to Crashaw, August 9, 1611; (3) Perey to Northumberland, August 17, 1611; (4) Dale to Winwood, June 3, 1616; (5) Dale to D. M., June 18, 1614; (6) Whittaker to Master G., June 18, 1614"
VC00020,Ferrar,PC00113,5,"JULY 2, 1621",needs_review,,,,person_nicholas_ferrar,Nicholas Ferrar,Nicholas Ferrar,1.000,surname-only comparison,person_john_ferrar,John Ferrar,John Ferrar,1.000,surname-only comparison,,,,,,,,"JULY 2, 1621: ide and certified as would appeare) to the end they might be accorded without longer delay or farther sute. Whereupon the Courte thought fit that some five of the Counsell should be entreated to meet on Fryday morning next at Mr. Ferrar's house to heare and determine the same if they can or otherwise to make reporte how the cause stands between them, and in whome the default is that an agreement cannot be made. [248] Mr. Thomas Iadwin moved that whereas Thomas W || November 12, 1624: U. S. The only document relating to Virginia which is not reproduced in that collection is a repetition of the proclamation of the King of England concerning tobacco, bearing the date November 12, 1624. COLLECTIONS IN ENGLAND FERRAR PAPERS The most unique collection in England for the study of the Virginia Company is that in the possession of Magdalen College, Cambridge. As the property of Nicholas and John Ferrar, who were second only to Sir Edwin Sandys"
VC00021,George Smith,PC00115,5,"JULY 10, 1621",needs_review,,,,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison,person_john_smith,Captain John Smith,Captain John Smith,0.792,surname plus given-name comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.792,surname plus given-name comparison,,,"JULY 10, 1621: s. Mr. Smith. Mr. Nicholas Ferrar. Mr. Risley. Mr. Holloway. Mr. Casewell. Mr. Lawrence. Mr. Cartwright. Mr. Barnarde. Mr. Couell. Mr. Abdy. Mr. Wiseman. Mr. Leuor. Mr. Tucker. Mr. Ayres. Mr. Newport. Mr. Palmer. Mr. Edwards. Mr. George Smith. Mr. Whitley. Mr. Ruggell. Mr. Feligate. Mr. Darnelly. Mr. Essington. Mr. Morrice. Captain Hamor. Mr. Chamberlyn. Mr. Meuerell. Mr. Bull. Mr. Bagwell. Mr. Woodall. Mr. Hackett. Mr. Cuffe. Mr. Ewre. Mr. Wells. Mr. Colethurst. Mr. || JULY 16, 1621: nefit of the Patent he took of this Company, that therefore his said patent might be called in unless it might appear he would begin to Plant within the limits of the Southern Colony. Hereupon the Court appointed Mr. Roberte, Mr. George Smith, and Mr. Webb to treat with Mr. Peirce about it and certifie at the next Court what answer they should receive from him. For so much as the Physicians place to the Company was now become void by reason of the untimely death of Do"
VC00022,Iohn Smith,PC00118,5,"MAY 2, 1621",needs_review,,,,person_john_smith,Captain John Smith,Captain John Smith,0.938,surname plus given-name comparison,person_john_smith_of_nibley,John Smith of Nibley,John Smith,0.938,surname plus given-name comparison,person_thomas_smythe,Sir Thomas Smythe,Sir Thomas Smythe,0.792,surname plus given-name comparison,,,"MAY 2, 1621: . Francis Wyate, Mr. Deputy Ferrar, Mr. George Sandys, Captain Tucker, Mr. Toby Palavicine, Captain Wm. Newce, Mr. Robert Smith, Mr. Thomas Gibbs, Captain Bargraue, Mr. Challon, Mr. John Zouch, Mr. Wm. Oxenbridge, Mr. Porter, Mr. Iohn Smith, Mr. Kempe, Mr. Moone, Doctor Winstone, Mr. Henry Rainsford, Mr. Jefferson, Doctor Anthony, Mr. Edw: Gibbs, Mr. Sheppard, Mr. Nicholas Ferrar. The rest of this page 212 is, in the original, without writing. || JUNE 11, 1621: gather his people together to be ready at the day pre-fixed, to drawe the Articles of agreement according hereunto with such necessary additions as he should thinke fitt, and after to apply the Companies Seale unto the same. Mr. Iohn Smith acquainted the Company that there was a Gentleman, Mr. Smiths motion, of good Account and sufficiency whom he could name who would undertake to procure and transport to Virginia at an easie rate (if so the Company please) a good"
VC00023,Captaine Martin,PC00153,4,"JULY 24, 1621",needs_review,,,,person_john_martin,Captain John Martin,John Martin,0.781,surname plus given-name comparison,,,,,,,,,,,,,"JULY 24, 1621: JULY 24, 1621 A Court HELD 24 Iulii 1621 Sr. Iohn Dauers. Mr. Nicholas Ferrar. Mr. Widdowes. Mr. Deputie. Mr. Shepparde. Mr. Baynam. Mr. Wroth. Captaine Bargraue. Mr. Couell. Mr. Gibbs. Captaine Martin. Mr. Edwarde. Mr. Wrote. Mr. Barbor. Mr. Harte. Mr. George Sandys. Mr. Blande. Mr. Moorewood. Doctor Gulstone. Mr. Bull. Mr. Taylor. Doctor Winstone. Mr. Swinhoe. Mr. George Smith. Doctor Anthony. Mr || NOVEMBER 21, 1621: NOVEMBER 21, 1621 Captaine Martin having petitioned to the Court for redresse of certaine grievances whereof he complained was admonished that if he would willingly surrender his Patent which had so often been questioned and complained of both here and by the Cou"
VC00024,Farrars,PC00160,4,"NOVEMBER 21, 1621",needs_review,,,,person_nicholas_ferrar,Nicholas Ferrar,Nich: ffarrar,0.857,surname-only comparison,,,,,,,,,,,,,"NOVEMBER 21, 1621: er it to a select Committee to be reviewed; and thereupon did nominate Mr. Herbert, Mr. Iermyn, Mr. Brooks, Mr. Wrote, Mr. Earle, Mr. Nicholas Farrar, Mr. Gibbs, authorising them or any fower of them to meet about the same at Mr. Farrars house when Mr. Deputy shall appoint, and to call Capt. Martin before them and to require a sight of the said Patent and whatsoever other writing that may concerne the same, which they are entreated diligently to peruse and examin || NOVEMBER 21, 1621: e should be further cause giuen to moue them to take some course for remedy hereof; whereupon these hereunder named were nominated and desired to meet vpon the next Saturday following at two of the Clocke in the afternoone at Mr. Farrars house, vizt: Lo: Cauendish. Lo: Padgett. Sr. Edw: Sackuill. Sr. Fran: Egiocke. Sr. Dudly Digge. Sr. Io: Dauers. Sr. Walter Earle. Sr. Sam: Sandys. Sr. Phil: Carey. Sr. Lawr Hyde. [MARGINAL NOTE: 297] Sr. R"
VC00025,Sandys,PC00174,4,"APRIL 30, 1621",needs_review,,,,person_edwin_sandys,Sir Edwin Sandys,Sir Edwin Sandys,1.000,surname-only comparison,person_george_sandys,George Sandys,George Sandys,1.000,surname-only comparison,,,,,,,,"APRIL 30, 1621: APRIL 30, 1621 Capt. Nowce. Mr. Wheatly. Mr. Rugles. Mr. Geo: Sandys. Mr. Boothby. Mr. Widdowes. Doctor Anthony. Mr. Barbor. Mr. Baynain. Mr. Smith. Mr. Couell. Mr. Kwens. Mr. Shepperd. Mr. Combs. Mr. Steward. Mr. Bull. Captain Tucker. Mr. Casewell. Whereas it hath been taken into consideration || JUNE 25, 1621: s charge which amounted to the Sume of at least 150, the same having been againe taken into consideration at this last meeting and finding the Companies Stocke no way able to performe the same (as things now stood) It pleased Mr. Sandys out of a desire to advance so hopefull a worke and to ease the Company of the present charge to offer to take the said Italians to himselfe in leiu of those men that were to be allowed him by the Company in respect of his office"
VC00026,Francis Wyatt,PC00207,3,"JULY 10, 1621",needs_review,,,,person_francis_wyatt,Sir Francis Wyatt,Francis Wyatt,1.000,surname plus given-name comparison,,,,,,,,,,,,,"JULY 10, 1621: Spanish Ships of war, where Doctor Bohune himself was slain; The Court was pleased to grant him his request to set him free and pay for his said passage. Upon the humble petition of Mrs. Newport widow, the Court ordered that Sir Francis Wyatt the elect Governor and the rest of the Counsell of State in Virginia should be treated to set out 32 Shares to Newport, and 3 of Land in Virginia heretofore bestowed upon Captain Christopher Newport, whose shares for 6 her late h || December 10, 1746: istory and identity of the volumes in the Library of Congress which concern the Virginia Company, as also of the Randolph copy, see: Robert C. Howison, History of Virginia, I, 212 (footnote). 1843. Fordyce M. Hubbard, Life of Sir Francis Wyatt in Belknap’s American Biography (footnote). 1843. Hugh Blair Grigsby in the Southern Literary Messenger, February, 1854. J[ohn] W[ingate] T[hornton], in the Historical Magazine, February, 1858. Charles Campbell, History of Virgin"
