mention_id,mention,canonical_candidate,entity_type_suggestion,group_suggestion,source_file,char_offset,context,annotation_status,notes
IM00017,Opachancano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,3254201,"ene vs and them: This piect those of the Councell embraced because they found the warre to be lawfull and well grounded the ayd reqvired to be verye small and not of Consequence enough for Opachancano to put any trecherous dis- aster vpon, this y? onely way to obliege Opachancano who ever since St george yeardlies §cominge§ in hath stood aloofe vpon termes of dout and Jealousy and would",seed_unreviewed,leader/title-bearing individual
IM00018,Opachancano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,3254281,"he warre to be lawfull and well grounded the ayd reqvired to be verye small and not of Consequence enough for Opachancano to put any trecherous dis- aster vpon, this y? onely way to obliege Opachancano who ever since St george yeardlies §cominge§ in hath stood aloofe vpon termes of dout and Jealousy and would not be drawne to any treaty at all notwthstanding all the Arte and endeauor the",seed_unreviewed,leader/title-bearing individual
IM00019,Opachancano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4204542,"om w as it shall be bountifull to all so it shalbe redoubled to them into whose handé the principalle either in execu- gon or contriuement of this Treacherie shall fall: but if any ean take Opachancano himself, he shall haue a great and singular reward from vs. As for those Indians whom God vsed as instrument¢ of revealing and pre- ventinge the totall ruine of yo"" all we thinke a good res",seed_unreviewed,leader/title-bearing individual
IM00020,Opachancano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4442255,"282. Letter to New Magazine Company, 449-450. Letters to Sir Edwin Sandys, 118-122, 122- 129, 297-300, 450-451, 452-453, 462-464. Letter to Sir Henry Peyton, 29-31. Massacre, 568, 569. Opachancano’s distrust of, 228. Partner in Berkley Hundred, 272-273. Patent, 643. Poole, the interpreter, 253. Praised by the company, 527, Praised by John Rowe, 464. Quarrel with Captain William",seed_unreviewed,leader/title-bearing individual
IM00021,Opichankano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4716835,lay betweene of Colouve & [combined_page=2195] *heamaincof adage pablsekly hy the Counselle Virginia 118 RECORDS OF THE VIRGINIA COMPANY Powhatanes Couutrey who together wt his Brother Opichankano plotted when 8° G. Yardly eame thither to breake the league betweene vs & the Chickhor nenes & effected it thus. Opichankano $pfessing much frendships send fetues§$ vardlye aduertisem!,seed_unreviewed,leader/title-bearing individual
IM00022,Opichankano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4716963,INIA COMPANY Powhatanes Couutrey who together wt his Brother Opichankano plotted when 8° G. Yardly eame thither to breake the league betweene vs & the Chickhor nenes & effected it thus. Opichankano $pfessing much frendships send fetues§$ vardlye aduertisem! yt some of the Chickhomences had killed some of of eattle & swyne: yardly desires a parlye about it. The Chiek- homenos to the n,seed_unreviewed,leader/title-bearing individual
IM00023,Opichankano,Opechancanough,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4717525,"tt to be delyuered amongst them & kild 30 or 40 of the sd Chickhor nenes: This pfidious act with Chiekohomenes yardly eomand@ a made then all flve out & sceke Reuenge, they iovned with Opichankano & having by stealthes & murthers diese tymes a them wre seed to peteife in so mach that be: Hieted sueh of ot Colony us they could meet w & daili offered mg®, No Reuenge was teen but a",seed_unreviewed,leader/title-bearing individual
IM00024,Tomakin,Tomakin,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2921169,"Comp* gaue him. desires 100 men with tools & &e that he will pvide w"" victuals likes James Town better than Bermudas 40 miles aboue it, will Strengthen it. Great plenty & peace That he sent Tomakin to tell Oppachancano of his arrival & he came to James Town reéd a present w great joy. Tomakin rails ag‘ Engl! English people and particularly his best friend Tho: Dale all his reports are",seed_unreviewed,individual; reported as intermediary/messenger in the text
IM00025,Tomakin,Tomakin,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2921265,"better than Bermudas 40 miles aboue it, will Strengthen it. Great plenty & peace That he sent Tomakin to tell Oppachancano of his arrival & he came to James Town reéd a present w great joy. Tomakin rails ag‘ Engl! English people and particularly his best friend Tho: Dale all his reports are disproved before opachank?® & his Great men whereupon (to the great satisfaccion of ye Great me",seed_unreviewed,individual; reported as intermediary/messenger in the text
IM00026,Tomakin,Tomakin,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2921465,ils ag‘ Engl! English people and particularly his best friend Tho: Dale all his reports are disproved before opachank?® & his Great men whereupon (to the great satisfaccion of ye Great men) Tomakin is disgraced Powhatan is gone to y® K. of May-—umps in patawamack Riv' & has left y* Gou9nt [combined_page=1351] 74 RECORDS OF THE VIRGINIA COMPANY of his Kingdom to opachank® & his other,seed_unreviewed,individual; reported as intermediary/messenger in the text
IM00027,Tomakin,Tomakin,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4423196,"red, 94-98. Tite, Lewis, 89, 335, Title to Virginia, 3. Tobaceo. See under Commodities. Tobacco Point, 103. Tobacco Tasters, 228, 229. Oath of, 229. Tod, William, 538. Tolling, Thomas, 570. Tomakin, Treachery of, 73. INDEX Tomkins, Humirey, 60. Tomlins, Richard, 89, 335, 339. Tomlinson, —, Accountant or Clerk, 384, 392, 404, Tooke, John, Tobacco Taster, 228-229. Torfet, Stephen (Tor",seed_unreviewed,individual; reported as intermediary/messenger in the text
IM00028,Gepanocon,Gepanocon,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2795209,", left by 8"" Walter Rawely wh escaped from the slaughter of Powhaton of Roanocke, vppon the Pewhalon first arrivall of our Colonie, and liue vnder the proteeéon of a wiroane *’""°""""* called Gepanocon enemy to Powhaton, by whose consent you shall neuer Gepanocun a wi- recouer them, one of these were worth much labour, and if you finde™#""° them not, yet seach into this Countrey it is mor",seed_unreviewed,described as a weroance in the text
IM00029,Gepanocun,Gepanocon,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,2795271,"owhaton of Roanocke, vppon the Pewhalon first arrivall of our Colonie, and liue vnder the proteeéon of a wiroane *’""°""""* called Gepanocon enemy to Powhaton, by whose consent you shall neuer Gepanocun a wi- recouer them, one of these were worth much labour, and if you finde™#""° them not, yet seach into this Countrey it is more pbable then towards the north. 16 These three habitaGons s",seed_unreviewed,described as a weroance in the text
IM00030,Gepanocon,Gepanocon,PERSON,Indigenous_named_person,allFourVCLCombinedPerPage.json,4337818,"g Guest House, 587. Petition to Company concerning Grand Charter, 159-161. Report of, 1619, 153-177. Restraint of tobacco planting, 586. Reward of officers of, 176. George. See under Ships. Gepanocon, 17. Gerard’s Herball, 447. Gerard, Ph., 57. Germany, 308, 544. Geyton, Robert, 539. Gibbens, James, 66. Gibbens, John, 66. Gibbes, —, Lieutenant. Massacred, 567. Representative in General",seed_unreviewed,described as a weroance in the text
IM00031,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,1481815,""" Ma“ in Virginia there was a great quantitie of Woodland Marish and other grounds beinge in cireum- ference by estimaéon fower score Miles or thereabout¢ for w™ ground he did compound with Powhatan the Indian Kinge or cheife of that place and bounded the same out with markeable Trees and other Mark¢€ of perpetuall knowledge and remembrance with a solemne 1 The caption of this petitio",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00032,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,1484008,"rest in Virginia’ The sayde Counsell and Companie for aunsweare therevnto saye that they acknowledge no Kinge of Virginia but Kinge Iames, of and vnder whome they hold and not from |king|| Powhatan so named by the Petitioners. True it is that for a permanent hono’ as well to his royall Ma“ the flounder of that Plantation as also ||to|| his Princely Issue they haue named both their 1",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00033,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,1624677,for the mainetenance of his Relict wife and Children and for his indempnity (hauinge brought vp the Child his said [combined_page=742] 106 RECORDS OF THE VIRGINIA COMPANY Brother had by Powhatan’s Daughter w™ Child is yet lyvinge and in his eustodie) It was ordered [63] that the Gouernor and Counsell of Virginia should cause enquirie be made what Landé and goodes the said Iohn Rolf,seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00034,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,2666948,"II, 75. Vice-admiral in Virginia, I, 546, 549, 558. Powell, Nathaniell (captain), I, 308, 336. Died, IT, 107. Powell, William. Captain of guards, I, 126. Letter to Sir Edwin Sandys, I, 146. Powhatan, II, 395. Poyn, John (Poynes). Patents, I, 341, 347. Preiwsen, Hiddlebrand. Land transferred, I, 608. Preston, Sir Amias, I, 607. Prin, Martin. Land and freedom, II, 73, 88. Prinn, Edward.",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00035,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,2921486,people and particularly his best friend Tho: Dale all his reports are disproved before opachank?® & his Great men whereupon (to the great satisfaccion of ye Great men) Tomakin is disgraced Powhatan is gone to y® K. of May-—umps in patawamack Riv' & has left y* Gou9nt [combined_page=1351] 74 RECORDS OF THE VIRGINIA COMPANY of his Kingdom to opachank® & his other brother. thinks Hemp,seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00036,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4393996,", 75. Committee, 159. Debts owed him by planters, 175-176. Letter to Sir Edwin Sandys, 436-438. Quarrel with Sir George Yeardley settled, 445. Representative in General Assembly, 153. Powhatan, 17, 18, 19, 78, 92, 438, 707. Powhatan River, 228. Pratt, John, 87, 331, Massaered with brother, 566, Prayer Books, 178, President, Lord, of the Council Mandeville), 510. (Viscount I",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00037,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4394036,"y planters, 175-176. Letter to Sir Edwin Sandys, 436-438. Quarrel with Sir George Yeardley settled, 445. Representative in General Assembly, 153. Powhatan, 17, 18, 19, 78, 92, 438, 707. Powhatan River, 228. Pratt, John, 87, 331, Massaered with brother, 566, Prayer Books, 178, President, Lord, of the Council Mandeville), 510. (Viscount INDEX President, The, and Council of the",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00038,Powhatans,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4492847,"y nothinge vato yt, but St: George yardley and mt Pountis them selves doc affirme, yt notiee beeinge given by the Ninge of the Fasterne shore of Apochaukeno his plott, at the takinge vpp of Powhatans bones at we? Ceremony great numbers of the Salvages were to be assembled to sett yvyppon every Plan- tattone of the Colonie, Sr. George vardley him selfe in psonne went to every PlantaGione",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00039,Powhatans,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4998382,"ete the xxjtt, And of Scotland the Lyj 1623 The 17"" yeare of this Plantation. Francis Wyatt. The lke Comission (mutatis mutandis) was graunted to Capt Samuell Mathews to go vppon the Tanx Powhatans. To Cap' Nath: West vppon the Apomatacks, and Tanx Weyonaques. To Capt Wittm Tucker vppon the Nansamums, & Wariscoyacks. All wth fell vppon them on the same day namely the 23"" of July 16",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00040,Powhatan,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5909008,"Sce wnder Cammoadities, arms. Powell, ditin, Powell, Wilhun, Captain, 0, 23, 101, 864, 455, 566, 569. Powle. See alse Poole. Powle, Nathaniel, Captain, 554, Powle, Sir Stephen, 363, 369. Powhatan, 10, 118. Powston, —, 80. Poyntell, Richard, 364. Paynis, 20. Prate, Richard, 554, Pratt, John, 365. Prayer Books, 271. Preston, Sir Amias, 363, 369. Prettie, George, 304. Price, Henry, 365",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00041,Powhatans,Powhatan paramount polity,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5927971,"3. Swifte, James, 365. Swords. See under Commodities, arms. Symons, Richard, 554. Syneretism, council of union, 418, 419. Syndex, magistracy, 428. Taite, Lewis, 365. Tanner, John, 366. Tanx Powhatans, 9, 251. Tanx Weyonaques, 251, 554, 455. Tapahatonahs, 9. Tappahanna, 359, Tar. See under Commoditics. Tatem, Richard, 245, 257, Taverner, Jubn, 364. Tayler, William, 365. Taylor, —, 290, 5",seed_unreviewed,"apply only when context is collective/territorial, not the named person"
IM00042,Chickahominies,Chickahominy,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,2593391,"ission. Cheeke, Sir Thomas, I, 228. Councillor, I, 227. Chettenly, Robert. Land, I, 548. Chettle, Richard. Land, I, 548. Chichester, Arthur, Lord. Letter to the Countess of Warwick, I, 181. Chickahominies, II, 395. Children. Conditions of transportation, I, 271, 293, 800, 304-307, 310, 424, Order of Privy Council sending, I, 139. To be transported, I, 270, 287, 293, 431, 683; II, 90, 368. Ch",seed_unreviewed,do not label Chickahominy River as a polity
IM00043,Chickahominies,Chickahominy,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4306376,"tain, 447. Chester, William, 82, 210, 322. Officer over colonists, 188-139, 205, Chetle, Richard, 63. Chettenly, Robert (Chetonly), 63. Chichester, City of, 82, 321. Chichley, Clement, 322. Chickahominies, 164, 245, 285. Enemies, 147, 372. Chickahomini River, 16, 227, 589. Children, Apprentices, 259. Chile, 573. China, 548, 573, Chischiack Indians to be bought out, 451. Chitley, Clemen, 82.",seed_unreviewed,do not label Chickahominy River as a polity
IM00044,Chickahomini,Chickahominy,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4306426,"over colonists, 188-139, 205, Chetle, Richard, 63. Chettenly, Robert (Chetonly), 63. Chichester, City of, 82, 321. Chichley, Clement, 322. Chickahominies, 164, 245, 285. Enemies, 147, 372. Chickahomini River, 16, 227, 589. Children, Apprentices, 259. Chile, 573. China, 548, 573, Chischiack Indians to be bought out, 451. Chitley, Clemen, 82. Choanocki River, 17. Cholfer, Richard, 570. Chri",seed_unreviewed,do not label Chickahominy River as a polity
IM00045,Pamunkey,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,835753,"X, 417-418. ALL, SEPTEMBER 10 862.* Governor in Virginia. Commission by governor and captain-general of Virginia to Sir George Yeardley to make war on the Indians; also for his voyage to Pamunkey. — LC. IV. ‘Ref: MS. Rec. Virginia Co., III, pt. ii, pp. 38*, 39. 16455—voL 1—06——11 [combined_page=367] 160 INTRODUCTION [1622 SEPTEMBER 11 863. ‘‘The Late Massacre in Virginia.’’ ‘‘A P",seed_unreviewed,do not label Pamunkey River as a polity
IM00046,Pamunkey,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4214657,"twentieth, and of Scotland the Ivj in the yeare of ot Lord God one thousand six hundred twentie two, and in the Sixteenth yeare of this Plantation. To 8"" George Yeardley for his Vioage to Pamunkey. Francis WYATT CCLVIII. Str Epwin Sanpys. A Lerrer to Joun Frerrar SEPTEMBER 23, 1622 Ferrar Papers Document in Magdalene College, Cambridge. Autograph Letter, Signed, with Seal List of",seed_unreviewed,do not label Pamunkey River as a polity
IM00047,Pamunkey,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4378330,"irginia, 210. Palavicine, Edward, 60. Palavicine, Toby, 62. Pallet, —, 290. Palmer, —, 63. Palmer, Edw., 65, 66. Palmer, Miles, 87, 331. Palmer, William, 87, 331, 592, 593. Paly, John, 567. Pamunkey River, 16, 228, 244, 554, 678, 679, 708, 710. Pardons, by governor in Virginia, 74. Parice, Tobias, 538. Parington, Sir Francis, 62. Parker, Sir Nicholas, 86, 331. Parker, Thomas, Mayor of",seed_unreviewed,do not label Pamunkey River as a polity
IM00048,Pamaunkok,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,4550128,"I make no question, but when the leaves sre greene, they wilbce somewhat nearer, and now forsooth they would faine have peace, Conditionallie, that they may haue their Corne at Kiskiek, and Pamaunkok, that is Just at our backe, and when their Corne is readie, haue at yo"" bucklers you braue $Cow--§ Englishmen. I was with the Gofinour at James Cittie, and told both him, and the Councell t",seed_unreviewed,do not label Pamunkey River as a polity
IM00049,Pamunkey,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5828507,"n William Tucker to examine passes and collect debts of passengers on ships, 446. To Captain Willtun Turker concerning rates on commodities, 445-446. To Captain William Tucker for voyage up Pamunkey River, 190. [combined_page=2678] INDEX Commission—Continued. To Council of State fo govern in governor's absence, 399-100. To Edmund Tutchin for voyage to Virginia, 509. ‘To settle go",seed_unreviewed,do not label Pamunkey River as a polity
IM00050,Pamunkeys,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5896160,"t of reinin, 401, 494. Palisadoes, 101, 259, 583. Palmer, Edward, 80, 210. Pulver, Jahn, 210. Palmer, Mil Patmer, W im, 20, 80, 365. Commissioner for setlling government of ws 491, 404. Pamunkeys (Pamaunkok, Pomunkies), 9, 37, 98, 451, Defeated, 507-508. Pamiuukey River, 558. Commission to Captain William Tueker to voyage up, 190. Panton, Sir Thomas, 363. Paper tonching Discussion",seed_unreviewed,do not label Pamunkey River as a polity
IM00051,Pamaunkok,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5896171,"n, 401, 494. Palisadoes, 101, 259, 583. Palmer, Edward, 80, 210. Pulver, Jahn, 210. Palmer, Mil Patmer, W im, 20, 80, 365. Commissioner for setlling government of ws 491, 404. Pamunkeys (Pamaunkok, Pomunkies), 9, 37, 98, 451, Defeated, 507-508. Pamiuukey River, 558. Commission to Captain William Tueker to voyage up, 190. Panton, Sir Thomas, 363. Paper tonching Discussion of Salaries",seed_unreviewed,do not label Pamunkey River as a polity
IM00052,Pomunkies,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5896182,". Palisadoes, 101, 259, 583. Palmer, Edward, 80, 210. Pulver, Jahn, 210. Palmer, Mil Patmer, W im, 20, 80, 365. Commissioner for setlling government of ws 491, 404. Pamunkeys (Pamaunkok, Pomunkies), 9, 37, 98, 451, Defeated, 507-508. Pamiuukey River, 558. Commission to Captain William Tueker to voyage up, 190. Panton, Sir Thomas, 363. Paper tonching Discussion of Salaries in the Bom",seed_unreviewed,do not label Pamunkey River as a polity
IM00053,Pamunkey,Pamunkey,INDIGENOUS_POLITY,Indigenous_named_polity,allFourVCLCombinedPerPage.json,5932064,"03, 369. To examine passes and collect debts of | Vertue, Christopher, 31a, passcugers on ships, 446. Victory, Lodwine. To fight Indians, 250 251, Petilion to governor for wage To voyage 1p Pamunkey River, 190. Vincent, Henry, 366, Instructions from governor in Virginia, 6-8. Vineent, Willian, 543. Lotter from governor, 444-445. Vineentio, Italian glacsworker, 23. Levy men to build for",seed_unreviewed,do not label Pamunkey River as a polity
