candidate_id,mention,canonical_candidate,entity_type_suggestion,group_suggestion,mention_count,first_document_date,source_file,annotation_status,review_note
PC00034,Manchester,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00035,Miss E. M. Leonard,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00036,Nathaniel Rich,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00037,Samuel Argall,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00038,Thomas Smythe’s,,PERSON,Virginia_Company_or_colonial_unverified,13,"April 28, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00039,Widdowes,,PERSON,Virginia_Company_or_colonial_unverified,13,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00040,Richard Bland,,PERSON,Virginia_Company_or_colonial_unverified,12,"January 16, 1795",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00041,Theodorick Bland,,PERSON,Virginia_Company_or_colonial_unverified,12,"July 3, 1622",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00042,William Byrd,,PERSON,Virginia_Company_or_colonial_unverified,12,"January 16, 1795",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00043,Ayres,,PERSON,Virginia_Company_or_colonial_unverified,11,"JUNE 11, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00044,Marshall,,PERSON,Virginia_Company_or_colonial_unverified,11,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00045,Statutes,,PERSON,Virginia_Company_or_colonial_unverified,11,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00046,Baynham,,PERSON,Virginia_Company_or_colonial_unverified,10,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00047,Conway Robinson,,PERSON,Virginia_Company_or_colonial_unverified,10,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00048,Io,,PERSON,Virginia_Company_or_colonial_unverified,10,"NOVEMBER 19, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00049,Leigh Robinson,,PERSON,Virginia_Company_or_colonial_unverified,10,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00050,Peyton Randolph,,PERSON,Virginia_Company_or_colonial_unverified,10,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00051,Rogers,,PERSON,Virginia_Company_or_colonial_unverified,10,"OCTOBER 24, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00052,William Leigh,,PERSON,Virginia_Company_or_colonial_unverified,10,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00053,Woodall,,PERSON,Virginia_Company_or_colonial_unverified,10,"SANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00054,Debts,,PERSON,Virginia_Company_or_colonial_unverified,9,"JUNE 18, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00055,Deputy Ferrar,,PERSON,Virginia_Company_or_colonial_unverified,9,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00056,Geo,,PERSON,Virginia_Company_or_colonial_unverified,9,"APRIL 30, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00057,Iohn Dauers,,PERSON,Virginia_Company_or_colonial_unverified,9,"SANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00058,John Smith,,PERSON,Virginia_Company_or_colonial_unverified,9,"February 18, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00059,Nicholas Ferrar,,PERSON,Virginia_Company_or_colonial_unverified,9,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00060,Stith,,PERSON,Virginia_Company_or_colonial_unverified,9,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00061,Thomas Gates,,PERSON,Virginia_Company_or_colonial_unverified,9,"November 20, 1606",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00062,Webb,,PERSON,Virginia_Company_or_colonial_unverified,9,"JUNE 11, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00063,Wiseman,,PERSON,Virginia_Company_or_colonial_unverified,9,"APRIL 30, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00064,Darnelly,,PERSON,Virginia_Company_or_colonial_unverified,8,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00065,Gabriel Archer,,PERSON,Virginia_Company_or_colonial_unverified,8,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00066,Glasse,,PERSON,Virginia_Company_or_colonial_unverified,8,"JUNE 13, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00067,John Radcliffe,,PERSON,Virginia_Company_or_colonial_unverified,8,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00068,La Warr,,PERSON,Virginia_Company_or_colonial_unverified,8,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00069,Meuerell,,PERSON,Virginia_Company_or_colonial_unverified,8,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00070,Peirce,,PERSON,Virginia_Company_or_colonial_unverified,8,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00071,Tucker,,PERSON,Virginia_Company_or_colonial_unverified,8,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00072,Vol,,PERSON,Virginia_Company_or_colonial_unverified,8,"May 20, 1700",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00073,William Strachey,,PERSON,Virginia_Company_or_colonial_unverified,8,"April 20, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00074,Anthony,,PERSON,Virginia_Company_or_colonial_unverified,7,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00075,Couell,,PERSON,Virginia_Company_or_colonial_unverified,7,"APRIL 30, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00076,Cuffe,,PERSON,Virginia_Company_or_colonial_unverified,7,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00077,George Yeardley,,PERSON,Virginia_Company_or_colonial_unverified,7,"February 28, 1610",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00078,J. Franklin Jameson,,PERSON,Virginia_Company_or_colonial_unverified,7,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00079,John D. Burk,,PERSON,Virginia_Company_or_colonial_unverified,7,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00080,Nicho,,PERSON,Virginia_Company_or_colonial_unverified,7,"NOVEMBER 14, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00081,William Newce,,PERSON,Virginia_Company_or_colonial_unverified,7,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00082,Caninge,,PERSON,Virginia_Company_or_colonial_unverified,6,"NOVEMBER 21, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00083,Carter,,PERSON,Virginia_Company_or_colonial_unverified,6,"JULY 24, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00084,Casewell,,PERSON,Virginia_Company_or_colonial_unverified,6,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00085,Chamberlyn,,PERSON,Virginia_Company_or_colonial_unverified,6,"JULY 10, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00086,Earle,,PERSON,Virginia_Company_or_colonial_unverified,6,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00087,Essington,,PERSON,Virginia_Company_or_colonial_unverified,6,"JULY 10, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00088,Francis Wyate,,PERSON,Virginia_Company_or_colonial_unverified,6,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00089,John Carter Brown Library,,PERSON,Virginia_Company_or_colonial_unverified,6,"June 22, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00090,John Rolfe,,PERSON,Virginia_Company_or_colonial_unverified,6,"May 8, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00091,Kalbfleisch,,PERSON,Virginia_Company_or_colonial_unverified,6,"June 22, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00092,Leeke,,PERSON,Virginia_Company_or_colonial_unverified,6,"DECEMBER 4, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00093,Leigh,,PERSON,Virginia_Company_or_colonial_unverified,6,"MAY 8, 1622",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00094,li,,PERSON,Virginia_Company_or_colonial_unverified,6,"JULY 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00095,Nicholas Farrar,,PERSON,Virginia_Company_or_colonial_unverified,6,"NOVEMBER 21, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00096,Nicholas Hawes,,PERSON,Virginia_Company_or_colonial_unverified,6,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00097,Patents,,PERSON,Virginia_Company_or_colonial_unverified,6,"FEBRUARY 22, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00098,Plantations,,PERSON,Virginia_Company_or_colonial_unverified,6,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00099,R. Bland,,PERSON,Virginia_Company_or_colonial_unverified,6,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00100,Ralph Hamor,,PERSON,Virginia_Company_or_colonial_unverified,6,"May 8, 1619",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00101,Samuell Argall,,PERSON,Virginia_Company_or_colonial_unverified,6,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00102,Steward,,PERSON,Virginia_Company_or_colonial_unverified,6,"SANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00103,Wroth,,PERSON,Virginia_Company_or_colonial_unverified,6,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00104,Barbor,,PERSON,Virginia_Company_or_colonial_unverified,5,"APRIL 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00105,Bermuda Hundred,,PERSON,Virginia_Company_or_colonial_unverified,5,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00106,bin,,PERSON,Virginia_Company_or_colonial_unverified,5,"NOVEMBER 21, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00107,Blair Grigsby,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00108,Captaine Norton,,PERSON,Virginia_Company_or_colonial_unverified,5,"JUNE 25, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00109,Dedicatorie,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00110,E. T. Bryan,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00111,Edwarde,,PERSON,Virginia_Company_or_colonial_unverified,5,"JULY 24, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00112,Edwards,,PERSON,Virginia_Company_or_colonial_unverified,5,"MAY 12, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00113,Ferrar,,PERSON,Virginia_Company_or_colonial_unverified,5,"JULY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00114,G.,,PERSON,Virginia_Company_or_colonial_unverified,5,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00115,George Smith,,PERSON,Virginia_Company_or_colonial_unverified,5,"JULY 10, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00116,Good Newes,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00117,Hickman,,PERSON,Virginia_Company_or_colonial_unverified,5,"August 6, 1623",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00118,Iohn Smith,,PERSON,Virginia_Company_or_colonial_unverified,5,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00119,Isaac Zane,,PERSON,Virginia_Company_or_colonial_unverified,5,"October 4, 1825",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00120,James I,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00121,John Dauers,,PERSON,Virginia_Company_or_colonial_unverified,5,"JANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00122,knowne,,PERSON,Virginia_Company_or_colonial_unverified,5,"APRIL 30, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00123,Lawes,,PERSON,Virginia_Company_or_colonial_unverified,5,"February 28, 1610",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00124,Lo,,PERSON,Virginia_Company_or_colonial_unverified,5,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00125,Mehan,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00126,Miscellaneous Records,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00127,Nich,,PERSON,Virginia_Company_or_colonial_unverified,5,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00128,Nicholas,,PERSON,Virginia_Company_or_colonial_unverified,5,"MAY 2, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00129,Patrick Copland,,PERSON,Virginia_Company_or_colonial_unverified,5,"June 22, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00130,R. A. Brock,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00131,Ralph Hammer,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00132,Randolph,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00133,Richard Crakanthorpe,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00134,Ro,,PERSON,Virginia_Company_or_colonial_unverified,5,"NOVEMBER 14, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00135,Robert,,PERSON,Virginia_Company_or_colonial_unverified,5,"OCTOBER 24, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00136,Roberte,,PERSON,Virginia_Company_or_colonial_unverified,5,"JULY 16, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00137,S. A. Myers,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00138,Thomas Jefferson,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 20, 1700",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00139,Tomlins,,PERSON,Virginia_Company_or_colonial_unverified,5,"NOVEMBER 14, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00140,Walter Earle,,PERSON,Virginia_Company_or_colonial_unverified,5,"SANUARY 29, 1620",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00141,Waterhouse,,PERSON,Virginia_Company_or_colonial_unverified,5,"JUNE 11, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00142,Wheatly,,PERSON,Virginia_Company_or_colonial_unverified,5,"APRIL 30, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00143,William Hening,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 20, 1700",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00144,Winwood,,PERSON,Virginia_Company_or_colonial_unverified,5,"August 9, 1611",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00145,Worthington C. Ford,,PERSON,Virginia_Company_or_colonial_unverified,5,"May 4, 1833",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00146,¢ Brown,,PERSON,Virginia_Company_or_colonial_unverified,5,"April 15, 1609",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
PC00147,Abraham Chamberlen,,PERSON,Virginia_Company_or_colonial_unverified,4,"NOVEMBER 14, 1621",cleanedSection1NERNames.json,seed_unreviewed,NER candidate only; merge spelling variants and verify against context before training.
